Sample,DateTime,ElapsedTime,Voltage,Current,Temperature,LogRowTime(ms),LogStatus
1,2025-05-29 02:36:37,10.000,4189,0,27.0,46,SUCCESS
2,2025-05-29 02:36:48,21.349,4189,0,27.0,39,SUCCESS
3,2025-05-29 02:36:57,30.001,4189,0,27.0,44,SUCCESS
4,2025-05-29 02:37:08,41.346,4189,0,27.0,45,SUCCESS
5,2025-05-29 02:37:17,50.001,4189,0,27.0,44,SUCCESS
6,2025-05-29 02:37:28,61.345,4189,0,27.0,44,SUCCESS
7,2025-05-29 02:37:37,70.003,4189,0,27.0,42,SUCCESS
8,2025-05-29 02:37:48,81.345,4189,0,27.0,44,SUCCESS
9,2025-05-29 02:37:57,90.004,4189,0,27.0,44,SUCCESS
10,2025-05-29 02:38:08,101.361,4189,0,27.0,46,SUCCESS
11,2025-05-29 02:38:17,110.005,4189,0,27.0,41,SUCCESS
12,2025-05-29 02:38:28,121.377,4189,0,27.0,44,SUCCESS
13,2025-05-29 02:38:37,130.006,4189,0,27.0,40,SUCCESS
14,2025-05-29 02:38:48,141.361,4189,0,27.0,46,SUCCESS
15,2025-05-29 02:38:57,150.007,4189,0,27.0,40,SUCCESS
16,2025-05-29 02:39:08,161.362,4189,0,27.0,44,SUCCESS
17,2025-05-29 02:39:17,170.007,4189,0,27.0,38,SUCCESS
18,2025-05-29 02:39:28,181.362,4189,0,27.0,43,SUCCESS
19,2025-05-29 02:39:37,190.008,4189,0,27.0,38,SUCCESS
20,2025-05-29 02:39:48,201.361,4189,0,27.0,44,SUCCESS
21,2025-05-29 02:39:57,210.009,4189,0,27.0,37,SUCCESS
22,2025-05-29 02:40:08,221.362,4189,0,27.0,43,SUCCESS
23,2025-05-29 02:40:17,230.010,4189,0,26.9,53,SUCCESS
24,2025-05-29 02:40:28,241.377,4189,0,26.9,44,SUCCESS
25,2025-05-29 02:40:37,250.010,4189,0,27.0,52,SUCCESS
26,2025-05-29 02:40:48,261.377,4189,0,27.0,45,SUCCESS
27,2025-05-29 02:40:57,270.010,4189,0,26.9,52,SUCCESS
28,2025-05-29 02:41:08,281.376,4189,0,26.9,46,SUCCESS
29,2025-05-29 02:41:17,290.012,4189,0,26.9,51,SUCCESS
30,2025-05-29 02:41:28,301.376,4189,0,26.9,46,SUCCESS
31,2025-05-29 02:41:37,310.013,4189,0,26.9,48,SUCCESS
32,2025-05-29 02:41:48,321.377,4189,0,26.9,44,SUCCESS
33,2025-05-29 02:41:57,330.014,4189,0,26.9,50,SUCCESS
